Label,Confidence,Full Tweet,Sanitized Tweet
neg,1.0,@tacobell you guys ruined my relationship with my now ex,guys ruined relationship ex
pos,1.0,"THE FAST FOOD RESTAURANTS NOT FOLLOWING GUIDELINES. Real nice, @SheriffCitrus NOT THE WORKERS FAULT. I ASKED. @tacobell @McDonalds shameful. Positively SHAMEFUL! @realDonaldTrump @citruschamber !! Only city on FUCHING PLANET NOT COMPLYING. @GovBillWeld @NYGovCuomo @GovRonDeSantis","fast food restaurants following guidelines. real nice, workers fault. asked. shameful. positively shameful! !! city fuching planet complying."
pos,1.0,"Good day, I desire a decagonal band of brittle tacos please. @tacobell","good day, desire decagonal band brittle tacos please."
neg,1.0,@tacobell no contact drive thru. 🙄 https://t.co/kOWDbV1hoq,contact drive thru. 🙄
neg,1.0,"@JessBrohard @tacobell The other day I got hated on for eating so much Taco Bell. Why do people think it’s so bad for you? Compared to most fast food restaurants it’s pretty light, and has a ton of vegetarian options. @tacobell 4 life 🌮 🌮 🌮","day got hated eating much taco bell. people think it’s bad you? compared fast food restaurants it’s pretty light, ton vegetarian options. 4 life 🌮 🌮 🌮"
neg,1.0,@JessBrohard @tacobell What is your go to,go
pos,1.0,@MarisaVierra @tacobell Yeah I always get emails from the CEO of pacific bells Tom Cook 🙃,yeah always get emails ceo pacific bells tom cook 🙃
neg,1.0,@RowdyMrRogers @tacobell “I’m going to stay sober until cinco de Mayo”,“i’m going stay sober cinco de mayo”
neg,1.0,Is it too late for @tacobell?,late
neg,1.0,@ThomasDrance @wyshynski I do the same when I go to order @tacobell .,go order
neg,1.0,@spleck @tacobell It's a joke.,joke.
neg,1.0,"next door... also closed at 8:00 p.m. Wound up at @tacobell NO MASKS, but gloves. Wow! @realDonaldTrump Wassup with that? Oh, kids. @DFR333BLS747 wanted @McDonalds Double Big Mac Deal. Some wearing gloves, others... not. NO MASKS! Crystal River immune? @larryromanik ? @Wendys","next door... also closed 8:00 p.m. wound masks, gloves. wow! wassup that? oh, kids. wanted double big mac deal. wearing gloves, others... not. masks! crystal river immune?"
pos,1.0,@tacobell y’all call this a chicken burrito? Smh https://t.co/evYG6EVKa9,y’all call chicken burrito? smh
neg,1.0,@JessBrohard @tacobell Taco bell never let's us down!,taco bell never let's us down!
neg,1.0,@Kayy__Chante bet one sneeze make they run around like roaches tho 🤔🤔,bet one sneeze make run around like roaches tho 🤔🤔
pos,1.0,@JeffreeStar You were hilarious.  #loved the #TacoBell one 😂😂😂 #JeffreeStarApproved #NitaEscort,hilarious. loved tacobell one 😂😂😂 jeffreestarapproved nitaescort
pos,1.0,My friend just got off COD to run to the bathroom.  FaceTimed him 20 mins later and he was @tacobell,friend got cod run bathroom. facetimed 20 mins later
neg,1.0,Drunkenly tried and failed at ordering @tacobell for the last hour,drunkenly tried failed ordering last hour
